path,page_type,change
florida/index.html,state,added state quick-answer AEO section; strengthened metadata
new-jersey/index.html,state,added state quick-answer AEO section; strengthened metadata
texas/index.html,state,added state quick-answer AEO section; strengthened metadata
new-york/index.html,state,added state quick-answer AEO section; strengthened metadata
new-york/long-island/index.html,city,added city quick-answer AEO section; strengthened metadata
new-york/brooklyn/index.html,city,added city quick-answer AEO section; strengthened metadata
new-york/new-york-city/index.html,city,added city quick-answer AEO section; strengthened metadata
new-york/queens/index.html,city,added city quick-answer AEO section; strengthened metadata
new-york/staten-island/index.html,city,added city quick-answer AEO section; strengthened metadata
new-york/staten-island/home-care/index.html,service,added service quick-answer AEO section; strengthened metadata
new-york/staten-island/final-expense-support/index.html,service,added service quick-answer AEO section; strengthened metadata
new-york/staten-island/ssdi/index.html,service,added service quick-answer AEO section; strengthened metadata
new-york/staten-island/memory-care/index.html,service,added service quick-answer AEO section; strengthened metadata
new-york/queens/home-care/index.html,service,added service quick-answer AEO section; strengthened metadata
new-york/queens/final-expense-support/index.html,service,added service quick-answer AEO section; strengthened metadata
new-york/queens/ssdi/index.html,service,added service quick-answer AEO section; strengthened metadata
new-york/queens/memory-care/index.html,service,added service quick-answer AEO section; strengthened metadata
new-york/new-york-city/home-care/index.html,service,added service quick-answer AEO section; strengthened metadata
new-york/new-york-city/final-expense-support/index.html,service,added service quick-answer AEO section; strengthened metadata
new-york/new-york-city/ssdi/index.html,service,added service quick-answer AEO section; strengthened metadata
new-york/new-york-city/memory-care/index.html,service,added service quick-answer AEO section; strengthened metadata
new-york/brooklyn/home-care/index.html,service,added service quick-answer AEO section; strengthened metadata
new-york/brooklyn/final-expense-support/index.html,service,added service quick-answer AEO section; strengthened metadata
new-york/brooklyn/ssdi/index.html,service,added service quick-answer AEO section; strengthened metadata
new-york/brooklyn/memory-care/index.html,service,added service quick-answer AEO section; strengthened metadata
new-york/long-island/home-care/index.html,service,added service quick-answer AEO section; strengthened metadata
new-york/long-island/final-expense-support/index.html,service,added service quick-answer AEO section; strengthened metadata
new-york/long-island/ssdi/index.html,service,added service quick-answer AEO section; strengthened metadata
new-york/long-island/memory-care/index.html,service,added service quick-answer AEO section; strengthened metadata
texas/dallas/index.html,city,added city quick-answer AEO section; strengthened metadata
texas/fort-worth/index.html,city,added city quick-answer AEO section; strengthened metadata
texas/san-antonio/index.html,city,added city quick-answer AEO section; strengthened metadata
texas/austin/index.html,city,added city quick-answer AEO section; strengthened metadata
texas/houston/index.html,city,added city quick-answer AEO section; strengthened metadata
texas/houston/home-care/index.html,service,added service quick-answer AEO section; strengthened metadata
texas/houston/final-expense-support/index.html,service,added service quick-answer AEO section; strengthened metadata
texas/houston/ssdi/index.html,service,added service quick-answer AEO section; strengthened metadata
texas/houston/memory-care/index.html,service,added service quick-answer AEO section; strengthened metadata
texas/austin/home-care/index.html,service,added service quick-answer AEO section; strengthened metadata
texas/austin/final-expense-support/index.html,service,added service quick-answer AEO section; strengthened metadata
texas/austin/ssdi/index.html,service,added service quick-answer AEO section; strengthened metadata
texas/austin/memory-care/index.html,service,added service quick-answer AEO section; strengthened metadata
texas/san-antonio/home-care/index.html,service,added service quick-answer AEO section; strengthened metadata
texas/san-antonio/final-expense-support/index.html,service,added service quick-answer AEO section; strengthened metadata
texas/san-antonio/ssdi/index.html,service,added service quick-answer AEO section; strengthened metadata
texas/san-antonio/memory-care/index.html,service,added service quick-answer AEO section; strengthened metadata
texas/fort-worth/home-care/index.html,service,added service quick-answer AEO section; strengthened metadata
texas/fort-worth/final-expense-support/index.html,service,added service quick-answer AEO section; strengthened metadata
texas/fort-worth/ssdi/index.html,service,added service quick-answer AEO section; strengthened metadata
texas/fort-worth/memory-care/index.html,service,added service quick-answer AEO section; strengthened metadata
texas/dallas/home-care/index.html,service,added service quick-answer AEO section; strengthened metadata
texas/dallas/final-expense-support/index.html,service,added service quick-answer AEO section; strengthened metadata
texas/dallas/ssdi/index.html,service,added service quick-answer AEO section; strengthened metadata
texas/dallas/memory-care/index.html,service,added service quick-answer AEO section; strengthened metadata
new-jersey/trenton/index.html,city,added city quick-answer AEO section; strengthened metadata
new-jersey/toms-river/index.html,city,added city quick-answer AEO section; strengthened metadata
